               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  71,            0.052846,            0.079098,            0.094656,           0.0046205,             0.11478,            0.020223,            0.012168,            0.040522,            0.051782,            0.084538,           0.0096535,           0.0096535,           0.0096535
                  72,            0.045863,            0.072514,            0.091844,           0.0032137,             0.11918,            0.014402,           0.0068321,            0.041168,            0.048218,            0.084029,           0.0096486,           0.0096486,           0.0096486
                  73,            0.047197,            0.072011,            0.095373,           0.0036469,             0.10926,            0.012492,           0.0053751,            0.043663,            0.050435,            0.084063,           0.0096436,           0.0096436,           0.0096436
                  74,            0.047499,            0.067453,            0.096884,           0.0033671,             0.11791,            0.013912,           0.0067168,            0.043074,            0.049628,            0.084021,           0.0096387,           0.0096387,           0.0096387
                  75,            0.048643,            0.068024,            0.094313,             0.97918,           0.0065131,            0.014208,           0.0078594,            0.038333,             0.04919,            0.083887,           0.0096337,           0.0096337,           0.0096337
                  76,            0.051881,            0.066324,            0.096092,           0.0036811,             0.13453,            0.016285,           0.0086443,            0.037505,            0.047285,            0.083707,           0.0096288,           0.0096288,           0.0096288
                  77,            0.045726,            0.063804,            0.093382,           0.0033031,             0.11719,            0.012904,           0.0058203,            0.043903,             0.04791,            0.083542,           0.0096238,           0.0096238,           0.0096238
                  78,            0.048464,            0.067669,            0.093269,           0.0033308,             0.12656,            0.011894,           0.0056565,            0.045372,            0.047525,            0.083189,           0.0096188,           0.0096188,           0.0096188
                  79,            0.051139,            0.069883,            0.093084,           0.0037169,             0.12858,            0.016032,           0.0078368,            0.038032,            0.046306,            0.083204,           0.0096139,           0.0096139,           0.0096139
                  80,            0.047453,            0.072659,            0.093747,           0.0036588,             0.12916,            0.016102,           0.0078662,            0.039615,            0.051654,            0.083687,            0.009609,            0.009609,            0.009609
                  81,            0.046012,            0.066862,            0.094816,           0.0036651,             0.14186,            0.016179,           0.0079231,            0.041624,            0.058446,            0.083906,            0.009604,            0.009604,            0.009604
                  82,            0.045669,            0.072592,            0.093331,           0.0035637,             0.11815,            0.013662,           0.0065403,            0.042635,            0.051636,            0.083154,            0.009599,            0.009599,            0.009599
                  83,            0.047554,            0.073909,            0.093044,           0.0031127,             0.11437,            0.012868,           0.0061646,            0.041246,              0.0563,            0.083806,           0.0095941,           0.0095941,           0.0095941
                  84,            0.047265,            0.068613,            0.094074,           0.0032251,             0.11015,            0.012245,           0.0063618,            0.040629,            0.054997,            0.083557,           0.0095892,           0.0095892,           0.0095892
                  85,            0.045798,            0.065927,            0.091585,           0.0043119,             0.13077,            0.016903,           0.0080336,            0.037435,            0.045554,            0.082208,           0.0095842,           0.0095842,           0.0095842
                  86,            0.048303,            0.072451,            0.091958,            0.004043,             0.11143,            0.015678,           0.0077693,            0.042403,             0.04883,            0.082177,           0.0095793,           0.0095793,           0.0095793
